Object Unique ID,Level,File name,File use,Type of Resource,Language,Title,Variant,Variant.1,Variant.2,Corporate:Creator,Corporate:enacting jurisdiction,Corporate:issuing body,Corporate:issuing body.1,Corporate:issuing body.2,Date:creation,Date:begin,Date:end,Identifier:OCLC number,bib,Note:,Note:.1,Note:.2,Note:.3,Note:.4,Note:.5,Note:.6,Note:description,Note:material details,Note:physical description,Note:publication,Person:Creator,Person:author,Person:issuing body,Person:issuing body.1,bibex,FAST Name,FAST Corporate,FAST Conference,FAST Topic,FAST Geographic,FAST Genre
N65537#16,Object,,,text,spa  - Spanish; Castilian ,"Don Juan Ruiz de Apodaca y Eliza, Lopez de Letona y Lasqueti, Gran-Cruz de las Reales Ordenes de San Ferndando y San Hermenegildo, Comendador de Ballaga y Algarga...Por quanto al propio tiempo que causa una extraña sorpresa la conducta del traidor Mina","Por quanto al propio tiempo que causa una extraña sorpresa la conducta del traidor Mina, no debe dexar duda del termino que le espera con el castigo debido a sus crímenes",,,,"New Spain, Viceroy (1816-1821 : Apodaca)",,,,1817,1817-01-01,1817-12-31,935958989,b9623682,Dated: Dado en el Real Palacio de México a 12 de Julio de 1817,"Signed: Juan Ruiz de Apodaca, Josef Ign Negreyros y Soria",Text printed in two columns,Title from caption and first part of text,,Special Collections copy signed by Apodaca (flourish) and Josef Ignacio Negreyros y Soria (signature),,"Broadside issued by the viceroy of New Spain expressing disapproval of the actions of fugitive revolutionary, Mina, ordering that no one should give him any assistance, and offering a reward for his capture",text,1 sheet ; 60 x 37 cm; Stamps for Ferdinand VII of Spain on verso,Mexico : publisher not identified,,,"Apodaca, Juan Ruiz de",,b96236826,,,Wars of Independence (Mexico : 1810-1821),Broadsides,,
N65537#152,Object,,,text,spa  - Spanish; Castilian ,"El Escmo. Sr. presidente de los Estados-Unidos Mexicanos, se ha servido dirigirme el decreto que sigue : deseando el supremo gobierno facilitar al erario nacional los recursos tan necesarios en las actuales circunstancias ... ha determinado ... rifar algunas de las fincas nacionales, rústicas y urbanas","Secretaria de Hacienda, Departamento de Gobierno, Seccion 2a",,,,Mexico,"Mexico, President (1829 : Guerrero)","Mexico, Secretaría de Hacienda",,1829,1829-01-01,1829-12-31,54279055,b9638489,Title from first lines of text,"At head of page [1]: Secretaria de Hacienda, Departamento de Gobierno, Seccion 2a",Circular dated and signed at end: México 4 de setiembre de 1829. Zavala,Decree dated: 4 de setiembre de 1829,Final [2] pages blank,Special Collections copy lacks blank integral leaf (i.e. pages [3]-[4]),,"Circular issued by the Secretaría de Hacienda during the presidency of Vicente Guerrero, communicating a national decree concerning land raffles",text,"1 folded sheet (4 unnumbered pages) ; 30 x 41 cm, folded to 30 x 21 cm",Mexico : publisher not identified,,,"Zavala, Lorenzo de, 1788-1836",,b9638489x,,,,"Finance, Public--Law and legislation | Land tenure--Law and legislation | Raffles--Law and legislation",,
N65537#17,Object,,,text,spa  - Spanish; Castilian ,"El Ecsmo. Sr. Presidente de los Estados Unidos Mexicanos, se ha servido dirigirme el decreto que sigue ... el Congreso General ha decretado lo siguiente. El Gobierno está facultado por el artículo 8o. de la ley de 26 de noviembre último, para hacer todo el gasto indispensable á proveer de mulas a los cuerpos militares",,,,,Mexico,"Mexico, Secretaría de Estado y del Despacho de Guerra y Marina","Mexico, Congreso (1827)","Mexico, President (1824-1829 : Vic.)",1827,1827-01-01,1827-12-31,1002638857,b9577954,Pages [3]-[4] blank,"At head of page [1]: Secretaria de Guerra y Marina, Seccion 5a",Title from first lines of text,Circular dated and signed at end: México Abril 11 de 1827. Gomez Pedraza,Special Collections copy signed with manuscript flourish,,,Circular from the Ministerio de Guerra y Marina transmitting a decree relating to covering the costs for supplying the military with mules,text,"1 folded sheet (4 unnumbered pages) ; 21 x 30 cm, folded to 21 x 15 cm",Mexico : publisher not identified,,,"Gómez Pedraza, Manuel, 1789-1851",,b95779541,,,,Mules,Mexico,
N65537#151,Object,,,text,spa  - Spanish; Castilian ,"El Supremo Poder Ejecutivo me ha dirigido el Decreto siguiente. El Supremo Poder Ejecutivo, nombrado provisionalmente por el Soberano Congreso constituyente Mexicano ... Que el mismo Soberano Congreso con fecha 4 del presente, se ha servido resolver: que hasta nueva determinacion se observen con respecto á la conduccion y extraccion de Moneda",,,,,Mexico,"Mexico, Secretaría de Hacienda","Mexico, Congreso Constituyente (1821-1823)","Mexico, Supremo Poder Ejecutivo (1823-1824)",1823,1823-01-01,1823-12-31,1000388071,b9500579,Upper left of sheet: Ministro de Hacienda,Title from first lines of text,Circular dated and signed at end: México 8 de Abril de 1823 .... José Ignacio Garcia Illueca,,,,,,text,"1 sheet (1 unnumbered page) ; 30 x 42 cm, folded to 30 x 21 cm",Mexico : publisher not identified,,,"García Illueca, José Ignacio, 1780-1832",,b95005791,,Mexico. Supremo Poder Ejecutivo (1823-1824),,Monetary policy | Politics and government,Mexico,History | Sources
N65537#18,Object,,,text,spa  - Spanish; Castilian ,"Don Francisco Xavier Venégas de Saavedra ... Virey ... de esta N.E. ... : Dedicado con la imparcialidad que me es característica, y con el amor igual que debo profesar y profeso á ambas Españas, á sufocar y extinguir el espíritu de partido que desgraciadamente hallé encendido á mi ingreso en este precioso Reyno","Dedicado con la imparcialidad que me es característica, y con el amor igual que debo profesar y profeso á ambas Españas",,,,New Spain,"New Spain, Viceroy (1810-1813 : Venegas)",,,1811,1811-01-01,1811-12-31,76839408,b9617107,Title from first lines of text,Circular dated and signed at end: Dado en México á 11 de Noviembre de 1811. Francisco Xavier Venégas .,Printed on blue paper,"Special Collections copy signed by Venegas, with his manuscript flourish. Also signed by Josef Ignacio Negreyros y Soria",,,,"Broadside circular issued by the viceroy of New Spain, communicating a decree prohibiting publications discussing divisions between the viceroyalty and Spain",text,1 sheet ; 43 x 30 cm,Mexico : publisher not identified,,,,,b96171078,,,,Freedom of the press,,History | Sources
N65537#150,Object,,,text,spa  - Spanish; Castilian ,Los Escmos. Sres. secretarios de Cámara de Representantes con fecha de hoy me dicen ... esta cámara sola pudiese recibir el juramento del presidente interino,,,,,Mexico,"Mexico, Secretaría de Estado y del Despacho de Relaciones Interiores y Exteriores., Departamento del Interior","Mexico, Congreso., Cámara de Diputados",,1829,1829-01-01,1829-12-31,54213388,b9641378,Title from first lines of text,At head of sheet: Primera Secretaria de Estado. Departamento del Interior. Seccion 1a,Circular issued by the Secretaría del Estado communicating an order concerning the swearing in of José María Bocanegra as provisional president,Circular dated and signed at end: México 18 de diciembre de 1829. Viesca,,,,,text,1 sheet (4 unnumbered pages) ; 31 cm (fol.),Mexico : publisher not identified,,,"Viesca, Agustín, 1779-1845",,b96413785,"Bocanegra, José María, 1787-1862",,,Inauguration | Presidents--Inauguration,,
N65537#19,Object,,,text,spa  - Spanish; Castilian ,"Julian de los Reyes, Gobernador del Estado de San Luis Potosí, a sus habitantes sabed: Que por el Ministerio de Relaciones Interiores y Esteriores se me ha comunicado lo siguiente ... Se convoca al congreso general a sesiones estraordinarias para el dia 20 del inmediato Junio",Que por el Ministerio de Relaciones Interiores y Esteriores se me ha comunicado lo siguiente ... Se convoca al congreso general a sesiones estraordinarias para el dia 20 del inmediato Junio,Se convoca al congreso general a sesiones estraordinarias para el dia 20 del inmediato Junio,,,Mexico,San Luis Potosí (Mexico : State),"San Luis Potosí (Mexico : State), Governor (1848-1850 : Reyes)",,1850,1850-01-01,1850-12-31,1015907844,b9641819,Title from first lines of proclamation,"Decree originally issued: ""México á 25 de Mayo de 1850.""","Broadside dated at end: ""San Luis Potosí, June 7 de 1850""","Type-signed at end: on left ""Julian de los Reyes""; below on right ""Luis Guzman, Secretario.""","Special Collections copy signed (with manuscript flourish), by Reyes and Guzman",,,"Provincial broadside communicating a federal decree issued during the administration of José Joaquín de Herrera, calling for extraordinary sessions of Congress in order to approve a budget, as well as to take up legislation concerning public finance",text,1 sheet ; 32 x 23 cm,San Luis Potosí : publisher not identified,,,"Herrera, José Joaquín de, 1792-1854","Reyes, Julián de los, 1811-1853",b96418199,,,,"Finance, Public | Politics and government",Mexico,History | Sources
N65537#12,Object,,,text,spa  - Spanish; Castilian ,"El supremo gobierno de la federacion deseando dar al ejército las mayores pruebas del aprecio y distincion que le merecen sus servicios y sacrificios por la felicidad de la patria , y evitarle al mismo tiempo el menor perjuicio con el ingreso en él de gefes, oficiales ó individuos estrangeros",Circular,,,,Mexico,"Mexico, Secretaría de Estado y del Despacho de Guerra y Marina",,,1826,1826-01-01,1826-12-31,20389297,b9578697,Title from first lines of text,At head of sheet: Secretaria de Guerra y Marina. Seccion 5a Circular,Dated: México 2 de Enero de 1826,Signed: G. Pedraza,,,,Circular from the Ministerio de Guerra y Marina relating to acknowledgement of military personnel for services to the nation,text,1 sheet ; 30 x 21 cm,Mexico : publisher not identified,,,"Gómez Pedraza, Manuel, 1789-1851",,b95786971,,,,Politics and government,Mexico,
N65537#13,Object,,,text,spa  - Spanish; Castilian ,"El Escmo. Sr. Presidente se há servido nombrar Secretario del Despacho de Justicia y negocios Eclesiasticos al Escmo. Sr. D. Juan José Espinosa de los Monteros, cuya firma no pone al margen de este Oficio por estar ya reconocida",Circular,,,,Mexico,"Mexico, Secretaría de Estado y del Despacho de Guerra y Marina","Mexico, Congreso (1828)","Mexico, President (1824-1829 : Vic.)",1828,1828-01-01,1828-12-31,1002307457,b9545416,Title from first lines of text,At head of sheet: Secretaria de Guerra y Marina. Seccion. Circular,"Circular from the Ministerio de Guerra y Marina, issued during the administration of Guadalupe Victoria, announcing the appointment of Juan José Espinosa de los Monteros to the post of Secretario del Despacho de Justicia y Negocios Eclesiasticos",Dated and signed at end: México 8 de Marzo de 1828. G. Pedraza,,,,,text,1 sheet (1 unnumbered pages) ; 21 x 16 cm,Mexico : publisher not identified,,,"Gómez Pedraza, Manuel, 1789-1851",,b95454160,,,,Politics and government,Mexico,
N65537#14,Object,,,text,spa  - Spanish; Castilian ,"Manuel González Cosío, teniente gobernador del estado libre de Zacatecas, en ejercicio del poder ejecutivo ... Que el escmo. sr. secretario de guerra y marina, con fecha 28 del procsimo pasado, me ha comunicado el decreto que sigue ... Se concede una medalla á los que en once de setiembre de mil ochocientos veinte y nueve, estuvieron en la batalla de Tampico contra los españoles",,,,,Mexico,"Mexico, President (1833 Apr. 1-May 16 : Gómez Farías)","Zacatecas (Mexico : State), Lieutenant Governor (1833 : González Cosío)",,1833,1833-01-01,1833-12-31,1019881997,b9658801,"Zacatecas state printing of a federal decree issued by vice president Gómez Farías (acting in capacity as president) calling for a series of medals to be issued to the veterans of the Battle of Tampico. One of the gold medals was ordered for the widow of General Manuel de Mier y Teran, who had recently committed suicide","Broadside dated and signed at end: Zacatecas, mayo 16 de 1833. Manuel G. Cosío",,,,,,,text,1 sheet ; 32 cm,Zacatecas : publisher not identified,,,"González Cosio, Manuel","Gómez Farías, Valentín, 1781-1858",b96588019,"Mier y Teran, Manuel de",,"Tampico, Battle of (Tamaulipas, Mexico : 1829)",Military decorations--Law and legislation | Politics and government,"Mexico | Tampico (Tamaulipas, Mexico)",History | Sources
N65537#15,Object,,,text,spa  - Spanish; Castilian ,"El Escmo. Sr. Presidente de los Estados Unidos Mexicanos, se ha servido dirigirme el decreto que sigue ... Se cede al Estado de Chihuahua el colegio que fué de los Jesuitas en aquella capital con tal de que lo destine á la enseñanza pública, y construye en la misma de su cuenta, y entregue al Gobierno general un hospital militar proporcionado, en situacion conveniente",,,,,Mexico,"Mexico, Secretaría de Hacienda",,,1828,1828-01-01,1828-12-31,995441529,b9484136,"Circular communicating a decree issued by the Secretaría de Hacienda under Presidente Guadalupe Victoria, relating to secularizing an ex-Jesuit college in Chihuahua for use as a public school",Title from caption and text,At head of sheet: Secretaria de Hacienda. Departamento de Gobierno. Seccion 2a,Dated and signed at end: México 7 de Febrero de 1828. José Ignacio Pavón,,,,,text,1 sheet (1 unnumbered page) ; 21 x 15 cm,Mexico : publisher not identified,,,"Pavón, José Ignacio, 1791-1866","Victoria, Guadalupe, 1786-1843",b94841366,,,,Politics and government | Public schools | Secularization,Mexico | Chihuahua (Mexico : State),History | Sources
N65537#159,Object,,,text,spa  - Spanish; Castilian ,"Don Juan Ruiz de Apodaca y Eliza, Lopez de Letona y Lasqueti, conde del Venadito ... Virey, Gobernador, Capitan General y Gefe superior politico de esta N.E. ... Por el Ministerio de la Guerra se me ha comunicado la Real órden siguiente ... El Rey se ha servido dirigirme el decreto ... Con el deseo de acelerar la restauracion del régimen constitucional, he tenido á bien renovar antes de ahora por decretos especiales varios decretos expedidos por las Córtes pasadas","Con el deseo de acelerar la restauracion del régimen constitucional, he tenido á bien renovar antes de ahora por decretos especiales varios decretos expedidos por las Córtes pasadas",,,,New Spain,"Spain, Cortes (1820-1823)","New Spain, Viceroy (1816-1821 : Apodaca)","Spain, Sovereign (1814-1833 : Ferdinand VII)",1821,1821-01-01,1821-12-31,1012143188,b9623804,Title from first lines of text,Text printed in two columns,Decree originally issued and dated: Madrid 18 de Julio de 1820 .,Dated and type-signed at end: Dado en Méjico á 13 de Enero de 1821. El Conde del Venadito,Special Collections signed by Apodoca (manuscript flourish) and Josef Ignacio Negreyros y Soria (manuscript signature),,,"Broadside issued by the viceroy of New Spain, communicating a royal decree from Fernando VII of Spain",text,1 sheet ; 60 x 43 cm,Mexico : publisher not identified,,,"Apodaca, Juan Ruiz de",,b96238045,,,Wars of Independence (Mexico : 1810-1821),Politics and government,Mexico | New Spain,History | Sources
N65537#10,Object,,,text,spa  - Spanish; Castilian ,"El Exmo. Sr. Presidente de la República se ha servido dirigirme el decreto que sigue ... el Congreso general ha decretado ... Primero. ""Se seguirá cobrando en los puertos de la República el derecho del uno por ciento que establece el art. 3o. del decreto de 1o. de Mayo de 1831",,,,,Mexico,"Mexico, Secretaría de Hacienda","Mexico, President (1837-1839 : Bustamante)",,1838,1838-01-01,1838-12-31,1004431874,b9585389,Title from first lines of text,Final 3 pages blank,At head of page [1]: Ministerio de Hacienda. Seccion 1a,Circular dated and signed at end: México Marzo 31 de 1838. Gorostiza,,,,"Circular issued by the Ministerio de Hacienda under the administration of Anastasio Bustamante, transmitting a national decree concerning customs administration",text,"1 sheet (4 unnumbered pages) ; 31 x 42 cm, folded to 31 x 22 cm",Mexico : publisher not identified,,,"Gorostiza, Manuel Eduardo de, 1789-1851",,b95853893,,,,Customs administration--Law and legislation,Mexico,
N65537#158,Object,,,text,spa  - Spanish; Castilian ,"Los Ecxmos. Señores Diputados Secretarios del Soberano Congreso me dicen con fecha de ayer lo que sigue ... Habiendo procedido el Soberano Congreso á la renovación de su Presidente, Vice-Presidente, y Secretarios mas antiguos",Excmos. Señores Diputados Secretarios del Soberano Congreso,,,,Mexico,"Mexico, Supremo Poder Ejecutivo (1823-1824)","Mexico, Secretaría de Estado",,1823,1823-01-01,1823-12-31,992446976,b9473333,At upper right of page [1]: Primera Secretaria de Estado. Scecion [sic] de Gobierno,"Circular issued by the Secretaria de Estado during the provisional government of 1823-1824, relating to elections and appointments of officials in the Mexican congress",Title from first lines of text,Circular dated and signed at end: México 25 de Julio de 1823 ... Aláman,,,,,text,"1 sheet (3 pages) ; 21 x 30 cm, folded to 21 x 15 cm",Mexico : publisher not identified,,,"Alamán, Lucas, 1792-1853",,b94733338,,Mexico. Congreso Constituyente (1823-1824),,Politics and government,Mexico,History | Sources
N65537#11,Object,,,text,spa  - Spanish; Castilian ,"El Exmo. Sr. Vice-Presidente de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto que sigue. El Vice-Presidente ... usando de la facultad que le dió el Congrego general por su decreto de 27 de Diciembre último, y estimando necesario para el arreglo de la amortizacion de las órdenes de que habla, en términos que previene, que se observen las reglas siguientes, decreta en su consecuencia. 1. Los pagos de derechos de importacion que se hagan con arreglo á lo dispuesto por el Gobierno","Secretaria de Hacienda, Seccion 1a",,,,Mexico,"Mexico, Secretaría de Hacienda",,,1834,1834-01-01,1834-12-31,995176647,b9483770,At top of sheet: Secretaria de Hacienda. Seccion 1a,Circular dated and signed at end: Mexico 11 de Enero de 1834. Garay,,,,,,"Circular issued by the Secretaría de Hacienda under Vice- President Gómez Farías, communicating a decree relating to tariff and public finance",text,1 sheet (1 page) ; 31 x 21 cm,Mexico : publisher not identified,,,"Gómez Farías, Valentín, 1781-1858","Garay, Antonio",b94837703,,,,"Finance, Public | Politics and government | Tariff",Mexico,Sources
N65537#157,Object,,,text,spa  - Spanish; Castilian ,"El Exmo. Sr. Presidente de la República Mexicana se ha servido dirigirme el decreto que sigue ... el Congreso general ha decretado ... Son Ministros de la Corte Marcial los Generales D. Luis Quintanar, D. José Joaquin Herrera, D. José Mariano Michelena, D. Melchor Muzquiz, D. Guadalupe Victoria, D. Joaquin Parres y D. Melchor Alvarez",,,,,Mexico,"Mexico, Congreso","Mexico, Ministerio de lo Interior","Mexico, President (1837-1839 : Bustamante)",1837,1837-01-01,1837-12-31,1004395655,b9585162,"""México Abril 20 de 1837.""",Signed: J. de Yturbide,Title from first lines of text,Verso blank,,,,"Broadside issued by the Mexican Congress during the administration of Anastasio Bustamante, and promulgated by the Ministry of the Interior, naming ministers to the Corte Marcial",text,1 sheet (2 unnumbered pages) ; 31 x 21 cm,Mexico : publisher not identified,"Corro, José Justo, 1794-1864",,"Iturbide, Joaquin de",,b95851628,,Mexico. Suprema Corte Marcial,,Politics and government,Mexico,History | Sources
N65537#156,Object,,,text,spa  - Spanish; Castilian ,"Los Escmos. Sres. secretarios de cámara de representantes con fecha 16 del actual me dicen lo que copio ... Hallándose esta cámara en el caso que espresa el art. 97 de la constitucion federal, procedió conforme al 96 á hacer la eleccion de presidente interino de la república por estados",Primera Secretaria de Estado. Departamento del Interior. Seccion 1a,,,,Mexico,"Mexico, Secretaría de Estado y del Despacho de Relaciones Interiores y Exteriores., Departamento del Interior","Mexico, Congreso., Cámara de Diputados",,1829,1829-01-01,1829-12-31,54213273,b9641374,Title from first lines of text,At head of sheet: Primera Secretaria de Estado. Departamento del Interior. Seccion 1a,Circular dated and signed at end: México 17 de diciembre de 1829. Viesca,Order dated: 16 de diciembre de 1829,,,,"Circular issued by the Secretaría del Estado communicating an order concerning the election of José María Bocanegra as provisional president, shortly after Vicente Guerrero was deposed",text,1 sheet ; 31 cm,Mexico : publisher not identified,,,"Viesca, Agustín, 1779-1845",,b96413748,"Bocanegra, José María, 1787-1862",,,Presidents--Election,,
N65537#155,Object,,,text,spa  - Spanish; Castilian ,"Don Francisco Xavier de Venégas de Saavedra, Rodrigues de Arenzana, Güemes, Mora, Pacheco, Daza, y Maldonado ... presidente de su real junta, y subdelegado general de Correos en el mismo Reyno : Ayamo moyolpachihuitia in Totlatocatzin rey D. Fernando VII, auh itencopatzinco in Supremo Consejo de Regencia de España è Indias","Ayamo moyolpachihuitia in Totlatocatzin rey D. Fernando VII, auh itencopatzinco in Supremo Consejo de Regencia de España è Indias","León-Portilla, A.H. de. Impresos en náhuatl,","Ugarte, Salvador. Cat. de obras escritas en lenguas indigenas de Mexico,",,New Spain,"Spain, Consejo de Regencia","New Spain, Viceroy (1810-1813 : Venegas)",,1810,1810-01-01,1810-12-31,82824517,b9605397,Title from caption and beginning of text,"Caption title in Spanish, text in double columns in Nahuatl",Printed on blue paper,Signed at the end of column 2: Dado en el Real Palacio de México á 5 de Octubre de 1810. Por mandado de S.E,,,,"Broadside issued by the Viceroy of New Spain communicating a proclamation sent from Spain under the Supremo Consejo de Regencia, requesting financial aid in the war against France and alluding to an insurrection in San Miguel el Grande. Signed in the text in column 2: Xavier de Castaños , Presidente, Francisco de Saavedra, Antonio de Escaño, Miguel de Lardizabal y Uribe. En la Real Isla de Leon à 26 de Mayo de 1810 A.D. Nicolas Maria de Sierra",text,1 sheet ; 43 x 31 cm,Mexico : publisher not identified,,,"Venegas, Francisco Xavier, 1760-1838",,b96053975,,,,Nahuatl language,,
