,bibex,bib,filename,Object Unique ID,Level,file_name,File use,Type of Resource,Language,Language2,Title,Subtitle,Translation,Variant,Variant2,Variant3,Variant4,Corporate:Creator,Corporate:Creator2,Corporate:Creator3,Corporate:Creator4,Corporate:Creator5,Corporate:author,Corporate:enacting jurisdiction,Corporate:issuing boday,Corporate:issuing body,Corporate:issuing body 2,Corporate:issuing body 3,Corporate:printer,Corporate:publisher,Date:creation,Date:production,Identifier:OCLC number,Note:,Note:2,Note:3,Note:4,Note:5,Note:6,Note:7,Note:description,Note:material details,Note:physical description,Note:publication,Note:publication2,Note:table of contents,Person:Creator,Person:Creator2,Person:Creator3,Person:Creator4,Person:Creator5,Person:Creator6,Person:Creator7,Person:Creator8,Person:author,Person:issuing body,Person:issuing body 2,Person:issuing body 3,Person:printer,Person:printer2,Subject:genre,Subject:genre2,Subject:geographic,Subject:topic,Subject:topic2,Unnamed: 63
0,b23614560,b2361456,b23614560_1.tif,N65537#1,Object,,,text,,,"Ignacio Pesqueira, Gobernador sustituto del Estado de Sonora, a las tropas presidiales : Soldados de la frontera, vosotros sois el valuarte avanzado de la nacionalidad mejicana",,,"Soldados de la frontera, vosotros sois el valuarte avanzado de la nacionalidad mejicana",,,,"Sonora (Mexico : State), Governor",,,,,,,,,,,,,1857,,,Title from first lines of text,"At end: I. Pesqueira. Ures, Marzo 11 de 1857",,,,,,,text,1 sheet ([1] pages) , 32 x 22 cm,"Ures Mexico, Imprenta del Gobierno á cargo de J.P. Siqueiros",,,"Pesqueira, Ignacio, 1820-1886",,,,,,,,,,,,,,,,,,
1,b23614596,b2361459,b23614596_1.tif,N65537#2,Object,,,text,,,"Que en uso de las facultades de que me hallo investido, he tenido á bien decretar lo siguiente : Art. 1o. Desde el dia en que las tropas francesas rompan las hostilidades, quedan declaradas en estado de sitio todas las poblaciones que aquellos ocuparen, y los mexicanos que quedaren en ellas durante la ocupacion serán castigados como traidores y sus bienes confiscados",,,"El C. Presidente de la República se ha servido dirigirme el decreto que sigue: ""Benito Juarez, Presidente constitucional de los Estados-Unidos Mexicanos, á sus habitantes, sabed",,,,Mexico,"Mexico, Secretaría de Relaciones Exteriores","Mexico, President (1858-1872 : Juárez)",,,,,,,,,,,1862,,,Title from first lines of text,"At head of title: El C. Presidente de la República se ha servido dirigirme el decreto que sigue: ""Benito Juarez, Presidente constitucional de los Estados-Unidos Mexicanos, á sus habitantes, sabed:","At end: Al C. Manuel Doblado, Ministro de Relaciones Esteriores y Gobernacion",,,,,,text,1 sheet ([1] page) , 32 x 22 cm,"Mexico City, Ministerio de Relaciones Esteriores y Gobernacion",,,"Juárez, Benito, 1806-1872","Doblado, Manuel, 1818-1885",,,,,,,,,,,,,,,,,
2,b23614614,b2361461,b23614614_1.tif,N65537#3,Object,,,text,nah - ,spa - ,Izcatqui in icuepca in Pater noster,,,,,,,,,,,,,,,,,,,,1755,,,Title from caption of first section,"Includes: Lord's prayer, Ave Maria, Apostles' creed, Salve Regina, Ten commandments, Five commandments of the Church, and Seven sacraments","In Nahuatl, with several headings in Spanish",,,,,,text,1 sheet ([1] page) , 35 x 23 cm,"Mexico, Reimpressas en la Imprenta nueva de la Bibliotheca Mexicana",,,,,,,,,,,,,,,,,,,,,
3,b23614663,b2361466,b23614663_1.tif,N65537#4,Object,,,text,,,"Los deplorables ecsesos de la actual insurreccion, debidos en parte á la suabidad con que el gobierno ha castigado a los rebeldes de Julio en 1856, y de Noviembre en 1857 : en parte à una administracion de justicia sin vigor, pero mas que todo à esa mezcla de temor y egoismo que domina en el ánimo de los habitantes ... en donde los criminales se abrigan y mantienen ejerciendo el pillage, favorecidos por un culpable disimulo",,,Circular,,,,,,,,,,"Sonora (Mexico : State), Governor",,,,,,,1859,,21502392.0,Title from beginning of text,"This setting of the type includes ""Sr. Prefecto del Distrito de"" printed in the lower left corner of sheet. Final line of the main body of text reads: ""hayan de residir.""","""Republica Mexicana. Gobierno del Estado de Sonora. Circular.""","Dated at end: Ures, Julio 14 de 1859",Signed: Y. Pesqueira,,,,text,1 sheet ([1] pages) , 32 x 22 cm,"Ures, Mexico, Gobierno del Estado de Sonora",,,,,,,,,,,"Pesqueira, Ignacio, 1820-1886",,,,,,History,Sources,Mexico--Sonora (State),,
4,b23614699,b2361469,b23614699_1.tif,N65537#5,Object,,,text,,,"El Exmo. Sr. Ministro de lo interior con fecha 29 de Abril último se sirve comunicarme lo siguiente : Exmo. Sr. -- Siendo el primer deber del Gobierno celar por la conservacion de la independencia y sabiendo que en públicas conversaciones se vierten especies que tienen por objeto procurar la anexacion de la República á los Estados Unidos, ... cuide ... de que no se difundan tales ideas",,,Siendo el primer deber del Gobierno celar por la conservacion de la independencia,,,,"Tamaulipas (Mexico : State), Governor","Mexico, Secretaría de Relaciones Exteriores",,,,,,,,,,,,1853,,,Title from first lines of text,"""Circular.""","At end: Santa Anna de Tamaulipas, Mayo 18 de 1853. Adrian Woll. Pedro José Peniche, Secretario",,,,,,text,1 sheet ([1] page) , 35 x 23 cm,"Tamaulipas, Mexico, Gobierno del Estado de Tamaulipas",,,"Woll, Adrian","Peniche, Pedro José",,,,,,,,,,,,,,,,,
5,b23614766,b2361476,b23614766_1.tif,N65537#6,Object,,,text,,,"El General Placido Vega, a los habitantes del Estado de Sinaloa : Conciudadanos, desde que D. Benito Juarez, con sus decretos de Paso del Norte, atentó contra la soberanía nacional, perpetuandose en poder por medio de la fuerza armada, varias veces me habeis llamado",,,,,,,,,,,,,,,,,,,,1870,,,Title from caption and first lines of text,"At end: Villa de la Concepcion, Febrero 8 dd [sic] I870.  Placido Vega",,,,,,,text,1 sheet ([1] page) , 34 x 22 cm,"Villa de la Concepcion, Mexico, P. Vega?",,,"Vega, Plácido, 1830-1878",,,,,,,,,,,,,,,,,,
6,b23614791,b2361479,b23614791_1.tif,N65537#7,Object,,,text,,,"El gobernador del Estado de Sonora, á todos sus habitantes , sabed: que el congreso del mismo estado ha decretado lo que sigue. Nùm. 101. El congreso constitucional del Estado de Sonora decreta lo siguiente: Articulo 1o. Continuarà la intervencion por el Estado en el Puerto de Guaymas",,,Continuará la intervención por el Estado en el Puerto de Guaymas,,,,"Sonora (Mexico : State), Governor",,,,,,,,,,,,,1849,,,Title from beginning of text,"Dated at end: 30 de Abril de 1849, José de Aguilar","""Cayetano Navarro, Srio.""",,,,,,text,1 sheet ([1] page) , 22 x 16 cm,"Ures, Sonora, Mexico, Gobierno Supremo del Estado de Sonora",,,"Aguilar, José de, 1804-1881","Navarro, Cayetano",,,,,,,,,,,,,,,,,
7,b24323871,b2432387,n,N65537#8,Object,,,text,,,Noticia interesante para el vice gobernador Bandera y su congreso,,,,,,,,,,,,,,,,,,,,1834,,,Caption title,Signed at end: Un Duende,"Dated at end: Culiacan, Junio 17 de 1834",,,,,,text,[3] pages , 32 cm,"Culiacan, Mexico, Imprenta del Supremo Gobierno, á cargo de F. Orrantia",,,Un Duende,,,,,,,,,,,,,,,,,,
8,b24323871,b2432387,b24323871_1.tif,N65537#8,Object,,,text,,,Noticia interesante para el vice gobernador Bandera y su congreso,,,,,,,,,,,,,,,,,,,,1834,,,Caption title,Signed at end: Un Duende,"Dated at end: Culiacan, Junio 17 de 1834",,,,,,text,[3] pages , 32 cm,"Culiacan, Mexico, Imprenta del Supremo Gobierno, á cargo de F. Orrantia",,,Un Duende,,,,,,,,,,,,,,,,,,
9,b24323871,b2432387,b24323871_2.tif,N65537#8,Object,,,text,,,Noticia interesante para el vice gobernador Bandera y su congreso,,,,,,,,,,,,,,,,,,,,1834,,,Caption title,Signed at end: Un Duende,"Dated at end: Culiacan, Junio 17 de 1834",,,,,,text,[3] pages , 32 cm,"Culiacan, Mexico, Imprenta del Supremo Gobierno, á cargo de F. Orrantia",,,Un Duende,,,,,,,,,,,,,,,,,,
